route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
224,Weekday,1327__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
216,Weekday,1328__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1329__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
900,Saturday,132__64911_Timetable_-_2021-10,Oshawa,0,64911_Timetable_-_2021-10,100.0.995817755_Timetable_-_2021-10,Eastbound,1
224,Weekday,1330__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1190313706_Timetable_-_2021-10,Westbound,1
216,Weekday,1333__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1334__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1335__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
216,Weekday,1337__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1339__12026_Timetable_-_2021-10,Ajax Station,1,12026_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
900,Saturday,133__62904_Timetable_-_2021-10,B - Pickering Town Centre,1,62904_Timetable_-_2021-10,100.0.11522189610_Timetable_-_2021-10,Westbound,1
224,Weekday,1341__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1343__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1345__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
216,Weekday,1346__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1347__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1348__12032_Timetable_-_2021-10,Ajax Station,1,12032_Timetable_-_2021-10,100.0.1046832382_Timetable_-_2021-10,Westbound,1
900,Saturday,134__62907_Timetable_-_2021-10,Oshawa,0,62907_Timetable_-_2021-10,100.0.11903138911_Timetable_-_2021-10,Eastbound,1
216,Weekday,1352__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1355__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1356__12029_Timetable_-_2021-10,S - Kingston Road,0,12029_Timetable_-_2021-10,100.0.1190313707_Timetable_-_2021-10,Eastbound,1
